Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Gambetta, GA; Manuck, CM; Drucker, ST; Shaghasi, T; Fort, K; Matthews, MA; Walker, MA; McElrone, AJ",,,,"Gambetta, G. A.; Manuck, C. M.; Drucker, S. T.; Shaghasi, T.; Fort, K.; Matthews, M. A.; Walker, M. A.; McElrone, A. J.",,,The relationship between root hydraulics and scion vigour across Vitis rootstocks: what role do root aquaporins play?,JOURNAL OF EXPERIMENTAL BOTANY,,,,,,,,,,,,,,,,,"Matthews, Mark A/A-5714-2010","Shaghasi, Tarana/0000-0002-6998-7726; Gambetta, Gregory/0000-0002-8838-5050; McElrone, Andrew/0000-0001-9466-4761",,,,,,,,,,,,,0022-0957,,,,,NOV,2012,63,18,,,,,6445,6455,,10.1093/jxb/ers312,http://dx.doi.org/10.1093/jxb/ers312,,,,,,,,23136166,,,,,WOS:000311645700012,View Full Record in Web of Science
J,"Yang, YZ; Mao, LY; Jittayasothorn, Y; Kang, YM; Jiao, C; Fei, ZJ; Zhong, GY",,,,"Yang, Yingzhen; Mao, Linyong; Jittayasothorn, Yingyos; Kang, Youngmin; Jiao, Chen; Fei, Zhangjun; Zhong, Gan-Yuan",,,Messenger RNA exchange between scions and rootstocks in grafted grapevines,BMC PLANT BIOLOGY,,,,,,,,,,,,,,,,,"Jiao, Chen/F-7882-2013; Fei, Zhangjun/H-5152-2012; Jiao, Chen/AAM-7701-2020","Jiao, Chen/0000-0002-3327-0547; Fei, Zhangjun/0000-0001-9684-1450",,,,,,,,,,,,,1471-2229,,,,,19-Oct,2015,15,,,,,,,,251,10.1186/s12870-015-0626-y,http://dx.doi.org/10.1186/s12870-015-0626-y,,,,,,,,26480945,,,,,WOS:000362984400001,View Full Record in Web of Science
J,"Tomasi, N; Monte, R; Varanini, Z; Cesco, S; Pinton, R",,,,"Tomasi, N.; Monte, R.; Varanini, Z.; Cesco, S.; Pinton, R.",,,Induction of nitrate uptake in Sauvignon Blanc and Chardonnay grapevines depends on the scion and is affected by the rootstock,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,,,,,,,,,,,,,,,,,"Pinton, Roberto/H-7931-2016; Tomasi, Nicola/A-7505-2012; Cesco, Stefano/F-3088-2011; Varanini, Zeno/H-8750-2019","Pinton, Roberto/0000-0003-3134-3842; Tomasi, Nicola/0000-0002-2136-7720; Cesco, Stefano/0000-0001-5191-0520; Varanini, Zeno/0000-0001-5614-2014",,,,,,,,,,,,,1322-7130,1755-0238,,,,JUN,2015,21,2,,,,,331,338,,10.1111/ajgw.12137,http://dx.doi.org/10.1111/ajgw.12137,,,,,,,,,,,,,WOS:000355251100017,View Full Record in Web of Science
J,"Gong, T; Brecht, JK; Hutton, SF; Koch, KE; Zhao, X",,,,"Gong, Tian; Brecht, Jeffrey K. K.; Hutton, Samuel F. F.; Koch, Karen E. E.; Zhao, Xin",,,Tomato fruit quality is more strongly affected by scion type and planting season than by rootstock type,FRONTIERS IN PLANT SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664-462X,,,,,15-Dec,2022,13,,,,,,,,948556,10.3389/fpls.2022.948556,http://dx.doi.org/10.3389/fpls.2022.948556,,,,,,,,36589104,,,,,WOS:000904911300001,View Full Record in Web of Science
J,"Gautier, A; Cookson, S; Lagalle, L; Ollat, N; Marguerit, E",,,,"Gautier, Antoine; Cookson, Sarah; Lagalle, Loic; Ollat, Nathalie; Marguerit, Elisa",,,"Influence of the three main genetic, backgrounds of grapevine rootstocks on petiolar nutrient concentrations of the scion, with a focus on phosphorus",OENO ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494-1271,,,,,2020,54,1,,,,,1,13,,10.20870/oeno-one.2020.54.1.2458,http://dx.doi.org/10.20870/oeno-one.2020.54.1.2458,,,,,,,,,,,,,WOS:000523368200001,View Full Record in Web of Science
J,"Clingeleffer, P; Morales, N; Davis, H; Smith, H",,,,"Clingeleffer, Peter; Morales, Norma; Davis, Hilary; Smith, Harley",,,The significance of scion x rootstock interactions,OENO ONE,,,,,21st GIESCO International Meeting,"JUN 23-28, 2019","Thessaloniki, GREECE",GIESCO,,,,,,,,,,,,,,,,,,,,,,,,2494-1271,,,,,2019,53,2,,,,,335,346,,10.20870/oeno-one.2019.53.2.2438,http://dx.doi.org/10.20870/oeno-one.2019.53.2.2438,,,,,,,,,,,,,WOS:000483268000017,View Full Record in Web of Science
J,"Miele, A; Rizzon, LA",,,,"Miele, Alberto; Rizzon, Luiz Antenor",,,ROOTSTOCK-SCION INTERACTION: 2. EFFECT ON THE COMPOSITION OF CABERNET SAUVIGNON GRAPE MUST,REVISTA BRASILEIRA DE FRUTICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0100-2945,,,,,,2017,39,3,,,,,,,e-434,10.1590/0100-29452017434,http://dx.doi.org/10.1590/0100-29452017434,,,,,,,,,,,,,WOS:000408264400001,View Full Record in Web of Science
J,"Billones-Baaijens, R; Jones, EE; Ridgway, HJ; Jaspers, MV",,,,"Billones-Baaijens, R.; Jones, E. E.; Ridgway, H. J.; Jaspers, M. V.",,,Susceptiblity of common rootstock and scion varieties of grapevines to Botryosphaeriaceae species,AUSTRALASIAN PLANT PATHOLOGY,,,,,,,,,,,,,,,,,"Jones, Eirian E/K-6721-2012; Ridgway, Hayley J/J-6720-2013","Jones, Eirian E/0000-0002-1879-4537; Ridgway, Hayley J/0000-0002-0735-7649",,,,,,,,,,,,,0815-3191,1448-6032,,,,,2014,43,1,,,,,25,31,,10.1007/s13313-013-0228-9,http://dx.doi.org/10.1007/s13313-013-0228-9,,,,,,,,,,,,,WOS:000329937800004,View Full Record in Web of Science
J,"Harbertson, JF; Keller, M",,,,"Harbertson, James F.; Keller, Markus",,,Rootstock Effects on Deficit-Irrigated Winegrapes in a Dry Climate: Grape and Wine Composition,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9254,1943-7749,,,,,2012,63,1,,,,,40,48,,10.5344/ajev.2011.11079,http://dx.doi.org/10.5344/ajev.2011.11079,,,,,,,,,,,,,WOS:000301619700004,View Full Record in Web of Science
J,"McKenry, MV; Luvisi, D; Anwar, SA; Schrader, P; Kaku, S",,,,"McKenry, MV; Luvisi, D; Anwar, SA; Schrader, P; Kaku, S",,,Eight-year nematode study from uniformly designed rootstock trials in fifteen table grape vineyards,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9254,,,,,,2004,55,3,,,,,218,227,,,,,,,,,,,,,,,,WOS:000224949600002,View Full Record in Web of Science
J,"Li, C; Chen, H; Li, YR; Du, TT; Jia, J; Xi, ZM",,,,"Li, Chan; Chen, Hao; Li, Yiran; Du, Tiantian; Jia, Jia; Xi, Zhumei",,,The Expression of Aroma Components and Related Genes in Merlot and Marselan Scion-Rootstock Grape and Wine,FOODS,,,,,,,,,,,,,,,,,,"xi, zhumei/0000-0001-9866-7214",,,,,,,,,,,,,,2304-8158,,,,SEP,2022,11,18,,,,,,,2777,10.3390/foods11182777,http://dx.doi.org/10.3390/foods11182777,,,,,,,,36140906,,,,,WOS:000858243400001,View Full Record in Web of Science
J,"Tandonnet, JP; Cookson, S; Vivin, P; Ollat, N",,,,"Tandonnet, J. -P.; Cookson, S. J.; Vivin, P.; Ollat, N.",,,Scion genotype controls biomass allocation and root development in grafted grapevine,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,,,,,,,,,,,,,,,,,"Cookson, Sarah Jane/Q-1146-2019","Cookson, Sarah Jane/0000-0003-2591-192X; Vivin, Philippe/0000-0003-1629-8107",,,,,,,,,,,,,1322-7130,1755-0238,,,,,2010,16,2,,,,,290,300,,10.1111/j.1755-0238.2009.00090.x,http://dx.doi.org/10.1111/j.1755-0238.2009.00090.x,,,,,,,,,,,,,WOS:000278107900003,View Full Record in Web of Science
J,"Nazir, F; Ahmad, T; Bashir, MA; Rafique, R; Ali, I; Silvestri, C; Rugini, E; Siddiqui, SU",,,,"Nazir, Fahad; Ahmad, Touqeer; Bashir, Muhammad Ajmal; Rafique, Rizwan; Ali, Irfan; Silvestri, Cristian; Rugini, Eddo; Siddiqui, Sadar Uddin",,,Validation of in vitro grafting using indigenous wild grapevines as rootstock with commercial scion varieties,ACTA PHYSIOLOGIAE PLANTARUM,,,,,,,,,,,,,,,,,"Bashir, Muhammad Ajmal/AAF-8032-2019","Bashir, Muhammad Ajmal/0000-0002-3556-4362",,,,,,,,,,,,,0137-5881,1861-1664,,,,JUL,2022,44,7,,,,,,,70,10.1007/s11738-022-03408-4,http://dx.doi.org/10.1007/s11738-022-03408-4,,,,,,,,,,,,,WOS:000799511400001,View Full Record in Web of Science
J,"Zombardo, A; Mica, E; Puccioni, S; Perria, R; Valentini, P; Mattii, GB; Cattivelli, L; Storchi, P",,,,"Zombardo, Alessandra; Mica, Erica; Puccioni, Sergio; Perria, Rita; Valentini, Paolo; Mattii, Giovan Battista; Cattivelli, Luigi; Storchi, Paolo",,,Berry Quality of Grapevine under Water Stress as Affected by Rootstock-Scion Interactions through Gene Expression Regulation,AGRONOMY-BASEL,,,,,,,,,,,,,,,,,"Storchi, Paolo/C-1805-2013; Zombardo, Alessandra/AEN-5544-2022; Storchi, Paolo/ABD-2809-2020; cattivelli, luigi/AAE-7046-2020","Storchi, Paolo/0000-0001-7534-5634; Zombardo, Alessandra/0000-0003-1613-9667; Storchi, Paolo/0000-0001-7534-5634; cattivelli, luigi/0000-0002-6067-4600; Puccioni, Sergio/0000-0002-8653-7620; Mattii, Giovan Battista/0000-0002-3826-7304; Valentini, Paolo/0009-0007-5640-0301",,,,,,,,,,,,,,2073-4395,,,,MAY,2020,10,5,,,,,,,680,10.3390/agronomy10050680,http://dx.doi.org/10.3390/agronomy10050680,,,,,,,,,,,,,WOS:000541750900068,View Full Record in Web of Science
J,"Franck, N; Zamorano, D; Wallberg, B; Hardy, C; Ahumada, M; Rivera, N; Montoya, M; Urra, C; Meneses, C; Balic, I; Mejia, N; Ibacache, A; Zurita-Silva, A",,,,"Franck, Nicolas; Zamorano, Denisse; Wallberg, Britt; Hardy, Charlotte; Ahumada, Mario; Rivera, Natalia; Montoya, Maria; Urra, Claudio; Meneses, Claudio; Balic, Ivan; Mejia, Nilo; Ibacache, Antonio; Zurita-Silva, Andres",,,Contrasting grapevines grafted into naturalized rootstock suggest scion-driven transcriptomic changes in response to water deficit,SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,"Zurita-Silva, Andres/O-4991-2019; Franck, Nicolas/GWZ-4383-2022","Zurita-Silva, Andres/0000-0001-7274-2765; Franck, Nicolas/0000-0002-2894-5108; Meneses, Claudio/0000-0002-6452-8950; Zamorano, Denisse/0000-0002-2981-2112; Wallberg Nunez, Britt/0000-0003-4633-6637",,,,,,,,,,,,,0304-4238,1879-1018,,,,27-Feb,2020,262,,,,,,,,109031,10.1016/j.scienta.2019.109031,http://dx.doi.org/10.1016/j.scienta.2019.109031,,,,,,,,,,,,,WOS:000508751700033,View Full Record in Web of Science
J,"Miele, A",,,,"Miele, Alberto",,,"Rootstock-scion interaction: 6. Phenology, chilling and heat requirements of Cabernet Sauvignon grapevine",REVISTA BRASILEIRA DE FRUTICULTURA,,,,,,,,,,,,,,,,,,"Miele, Alberto/0000-0001-9465-570X",,,,,,,,,,,,,0100-2945,,,,,,2019,41,6,,,,,,,e-446,10.1590/0100-29452019446,http://dx.doi.org/10.1590/0100-29452019446,,,,,,,,,,,,,WOS:000502296800001,View Full Record in Web of Science
J,"Miele, A; Rizzon, LA",,,,"Miele, Alberto; Rizzon, Luiz Antenor",,,ROOTSTOCK-SCION INTERACTION: 1. EFFECT ON THE YIELD COMPONENTS OF CABERNET SAUVIGNON GRAPEVINE,REVISTA BRASILEIRA DE FRUTICULTURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0100-2945,,,,,,2017,39,1,,,,,,,e-820,10.1590/0100-29452017820,http://dx.doi.org/10.1590/0100-29452017820,,,,,,,,,,,,,WOS:000400551900012,View Full Record in Web of Science
J,"Saglam, H; Yagci, A; Calkan Saglam, O",,,,"Saglam, Hayri; Yagci, Adem; Calkan Saglam, Ozlem",,,The Effect of Hot Water Treatment on Vitality of Scions and Cuttings of Some Grape Varieties and Rootstocks,JOURNAL OF TEKIRDAG AGRICULTURE FACULTY-TEKIRDAG ZIRAAT FAKULTESI DERGISI,,,,,,,,,,,,,,,,,"Sağlam, Hayri/HOF-7599-2023",,,,,,,,,,,,,,1302-7050,2146-5894,,,,,2017,14,1,,,,,54,60,,,,,,,,,,,,,,,,WOS:000453165300007,View Full Record in Web of Science
J,"Wallis, CM; Wallingford, AK; Chen, JC",,,,"Wallis, Christopher M.; Wallingford, Anna K.; Chen, Jianchi",,,"Grapevine rootstock effects on scion sap phenolic levels, resistance to Xylella fastidiosa infection, and progression of Pierce's disease",FRONTIERS IN PLANT SCIENCE,,,,,,,,,,,,,,,,,"Wallis, Christopher/AFO-9404-2022","Wallis, Christopher/0000-0003-3855-8256",,,,,,,,,,,,,1664-462X,,,,,12-Dec,2013,4,,,,,,,,502,10.3389/fpls.2013.00502,http://dx.doi.org/10.3389/fpls.2013.00502,,,,,,,,24376452,,,,,WOS:000331522700001,View Full Record in Web of Science
J,"Zapien-Macias, JM; Ferrarezi, RS; Spyke, PD; Castle, WS; Gmitter, FG; Grosser, JW; Rossi, L",,,,"Zapien-Macias, J. Martin; Ferrarezi, Rhuanito Soranz; Spyke, Peter D.; Castle, William S.; Gmitter, Frederick G., Jr.; Grosser, Jude W.; Rossi, Lorenzo",,,"Early Performance of Recently Released Rootstocks with Grapefruit, Navel Orange, and Mandarin Scions under Endemic Huanglongbing Conditions in Florida",HORTICULTURAE,,,,,,,,,,,,,,,,,"; Ferrarezi, Rhuanito/E-1626-2013","Rossi, Lorenzo/0000-0001-8612-292X; Ferrarezi, Rhuanito/0000-0002-6873-7995; Gmitter, Fred/0000-0002-7499-0022",,,,,,,,,,,,,,2311-7524,,,,NOV,2022,8,11,,,,,,,1027,10.3390/horticulturae8111027,http://dx.doi.org/10.3390/horticulturae8111027,,,,,,,,,,,,,WOS:000883460400001,View Full Record in Web of Science
J,"Cui, ZH; Aguero, CB; Wang, QC; Walker, MA",,,,"Cui, Z. -H.; Aguero, C. B.; Wang, Q. -C.; Walker, M. A.",,,Validation of micrografting to identify incompatible interactions of rootstocks with virus-infected scions of Cabernet Franc,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,,,,,,,,,,,,,,,,,,"Wang, Qiaochun/0000-0001-8651-4907",,,,,,,,,,,,,1322-7130,1755-0238,,,,JUL,2019,25,3,,,,,268,275,,10.1111/ajgw.12385,http://dx.doi.org/10.1111/ajgw.12385,,,,,,,,,,,,,WOS:000472981200001,View Full Record in Web of Science
J,"Moyer, MM; King, J; Moulton, G",,,,"Moyer, Michelle M.; King, Jaqueline; Moulton, Gary",,,Evaluation of Rootstocks on Harvest Metrics of 'Pinot Noir clone 02A' Wine Grapes in Maritime Western Washington,HORTTECHNOLOGY,,,,,,,,,,,,,,,,,"Moyer, Michelle M./K-7667-2012","Moyer, Michelle M./0000-0003-3579-8828",,,,,,,,,,,,,1063-0198,1943-7714,,,,DEC,2018,28,6,,,,,830,835,,10.21273/HORTTECH04170-18,http://dx.doi.org/10.21273/HORTTECH04170-18,,,,,,,,,,,,,WOS:000457416000018,View Full Record in Web of Science
J,"Habran, A; Commisso, M; Helwi, P; Hilbert, G; Negri, S; Ollat, N; Gomes, E; van Leeuwen, C; Guzzo, F; Delrot, S",,,,"Habran, Aude; Commisso, Mauro; Helwi, Pierre; Hilbert, Ghislaine; Negri, Stefano; Ollat, Nathalie; Gomes, Eric; van Leeuwen, Cornelis; Guzzo, Flavia; Delrot, Serge",,,Roostocks/Scion/Nitrogen Interactions Affect Secondary Metabolism in the Grape Berry,FRONTIERS IN PLANT SCIENCE,,,,,,,,,,,,,,,,,"Commisso, Mauro/M-5616-2016; Gomès, Eric/F-6937-2019","Commisso, Mauro/0000-0001-6474-8577; Gomès, Eric/0000-0003-2582-1203; van Leeuwen, Cornelis/0000-0002-9428-0167; HILBERT, Ghislaine/0000-0003-0279-6703",,,,,,,,,,,,,1664-462X,,,,,09-Aug,2016,7,,,,,,,,1134,10.3389/fpls.2016.01134,http://dx.doi.org/10.3389/fpls.2016.01134,,,,,,,,27555847,,,,,WOS:000380982300001,View Full Record in Web of Science
